CATEGORY,SUBCATEGORY,NAME,NAMEFR,ADDRESS,ADDRESSFR,POSTCODE,PHONENUM,GlobalID,X,Y
COMMUNITY,PLAYGROUND,Holland,Holland,100 HOLLAND DR,"100, PROM HOLLAND",E1G 0X1,,{D5DB396E-5E47-467F-8095-926F28E17DEF},-64.8568262,46.10842122
COMMUNITY,PLAYGROUND,Magnetic Hill Estates,Magnetic Hill Estates,1004 MUIRFIELD DR,"1004, PROM MUIRFIELD",E1G 3T9,,{A364F632-9095-4F45-AB3E-1F938A43EA55},-64.88068168,46.12515582
COMMUNITY,PLAYGROUND,Mountain Woods,Mountain Woods,90 CHATEAU DR,"90, PROM CHATEAU",,,{97A0008A-DCCD-4219-923F-6334B2B07184},-64.86705434,46.13535383
HERITAGE,MUSEUM / HISTORIC,Resurgo Place,Place RESURGO,20 MOUNTAIN RD,"20, CH MOUNTAIN",E1C 2J8,506-856-4383,{565EB4D8-B70A-4344-B39D-DF770D1942C2},-64.77469645,46.09410452
SPORTS,BASEBALL FIELD,CN Sportplexe (Baseball Fields),Sportsplexe CN ( terrains de baseball),80 RUSS HOWARD ,"80, RUE RUSS HOWARD",,506-853-3574,{6BB03C27-FA59-4425-A510-7D01A94602D1},-64.82149583,46.09414267
SPORTS,ARENA,Superior Propane Centre,Centre Superior Propane,55 RUSS HOWARD  DR,"55, PROM RUSS HOWARD",,506-384-4423,{07FAA470-E448-44E3-A6F2-4E4E43D6901F},-64.81719296,46.09521626
SPORTS,BASEBALL FIELD,Kiwanis Ball Field,Terrain de baseball Kiwanis,80 LIMERICK ST,"80, RUE LIMERICK",,506-853-3333,{73CC0259-8784-4782-A58C-222EEC4A44FB},-64.79969676,46.09621045
SPORTS,BASEBALL FIELD,Wheeler Bseball Field,Terrain de baseball Wheeler,54 CROWLEY FARM RD,"54, CH CROWLEY FARM",,,{7520B05C-A94E-47E9-A60C-67CC99A052B0},-64.79614885,46.10817046
SPORTS,BASEBALL FIELD,Hal Betts Sportsplex,Sportsplex Hal Betts,250 ASSOMPTION BLVD,"250, BOUL ASSOMPTION",E1C 0R5,,{3DAB7AB3-5C6E-4385-8EF4-C87290884754},-64.783329,46.07975298
SPORTS,FOOTBALL FIELD,Rocky Stone Football Field,Terrain de football Rocky Stone,55 CENTENNIAL PARK RD,"55, CH CENTENNIAL PARK",853-3579,,{B6D7A86A-B3DD-431C-B0A0-8A351655CC2F},-64.81259277,46.08696239
SPORTS,TENNIS,Tennis Moncton,Tennis Moncton,40 CENTENNIAL PARK RD  ,"40, CH CENTENNIAL PARK",,506-853-7763,{20A67D8B-AB0C-4DA5-8049-B37FD0A67392},-64.81407216,46.08615343
SPORTS,MULTI-PURPOSE,Moncton Stadium,Stade Moncton,30 ANTONINE-MAILLET AVE,"30, AV ANTONINE-MAILLET",E1A 3E9,506-853-3595,{B74648CB-360B-452F-8315-19CC2220D147},-64.78356187,46.10856507
SPORTS,MULTI-PURPOSE,Crossman Community Centre - Kay Arena,Centre communautaire Crossman - ArÌ©na Kay,99 WYNWOOD DR,"99, PROM WYNWOOD",,506-877-7715,{08A265B8-7620-4DB7-8F13-32206792E5A0},-64.75320335,46.1048365
SPORTS,BASEBALL FIELD,Westbrook Baseball Field,Terrain de baseball Westbrook,COMMUNITY AVE,AV COMMUNITY,,,{AE0358AF-42E8-4419-B299-BE5B823FC5CB},-64.8446482,46.09989463
SPORTS,MULTI-PURPOSE,Moncton Coliseum,ColisÌ©e de Moncton,377 KILLAM DR,"377, PROM KILLAM",E1C 3T1,506-857-4100,{39EDBFFA-FDCB-4BBC-A04D-88895C0B1715},-64.82953678,46.09560148
SPORTS,BASEBALL FIELD,Evergreeen Baseball Field,Terrain de baseball Evergreen,333 EVERGREEN DR,"333, PROM EVERGREEN",E1G 2J2,506-856-3476,{83BD03AF-0D3D-4438-905D-F038EA3D6C7D},-64.85816664,46.1128302
SPORTS,SOCCER FIELD,CN Sportplexe (Soccer Fields),Sportsplexe CN ( terrains de soccer),135 RUSS HOWARD DR,"135, PROM RUSS HOWARD",,,{7FE62FB2-D120-4E39-B9D6-6EC75B7BBA86},-64.81353125,46.09278261
SPORTS,BASEBALL FIELD,UniversitÌ© de Moncton,UniversitÌ© de Moncton,54 CROWLEY FARM RD ,"54, CH CROWLEY FARM",,,{BA00F6E8-B792-4A54-998A-819DC39EC5A4},-64.78679001,46.10294213
SPORTS,"SKATE, BIKE PARK",Downtown Skate Park,Planchodrome du centre-ville,186 ASSOMPTION BLVD,"186, BOUL ASSOMPTION",,,{3EB83AC2-81D6-4FE8-9AE3-C4255E756DAE},-64.77629889,46.08408162
SPORTS,CN SPORTPLEXE,CN Sportplexe,CN Sportplexe,125 RUSS HOWARD DR,"125, PROM RUSS HOWARD",E1C 0L7,506-853-3574,{1A4D5893-653C-4100-A831-F656667D8CD4},-64.8193444,46.09285799
SPORTS,MULTI-PURPOSE,Downtown Centre,Complexe au centre-ville,1110 MAIN ST,"1110, RUE MAIN",E1C 1H4,,{33BEFD81-E417-47AB-874A-4A0D514BE215},-64.78427025,46.0854692
SPORTS,BASEBALL FIELD,CN Delong Field,Terrain de baseball CN Delong,177 DELONG DR,"177, PROM DELONG",,,{C9AAE303-DCE5-48FB-A659-2BFC97E037A6},-64.85103337,46.08135506
SPORTS,"SKATE, BIKE PARK",CN Sportsplex Bike Park,Parc ÌÊ vÌ©los du Sportplexe du CN,Russ Howard Dr,prom Russ Howard,,,{C8B01E0E-B292-4D4E-AA16-C1801296C4E8},-64.81773246,46.09326196
SPORTS,BASEBALL FIELD,Crandall University (Baseball Field),Crandall University (terrain de baseball),333 Gorge Rd,"333, ch. Gorge",,,{BE55739D-D79E-4DE0-9CF0-C9000A54B21D},-64.86206409,46.13743353
SPORTS,MULTI-PURPOSE,Dud James Sport Complex,ArÌ©na Dud James,70 Limerick St,"70, RUE LIMERICK",E1C 0P1,,{70917744-6987-42B7-A575-E417DF52E70E},-64.79902259,46.09646966
SPORTS,"SKATE, BIKE PARK",Renton Park All-Wheels Park,Rouli-parc Renton,280 NOEL ST,280 rue Noel,,,{72D81ED7-A044-4BD3-8C6E-310397B93B0A},-64.81557081,46.10608771
SPORTS,"SKATE, BIKE PARK",Centennial Park Pump Track Bike Park,Pistes de vÌ©lo extrÌ»me du parc du Centenaire,801 ST GEORGE BLVD,boul. St George,,,{A4F831B1-AAFE-4771-A15A-DA1DD3D5165F},-64.83037493,46.09242306
WATER,SPLASH PAD,Centennial Park Splash Pad,Jeux aquatiques du parc du centenaire,15 CENTENNIAL BEACH LN,"15, RLE CENTENNIAL BEACH",,,{B6DA5B55-DAFC-491C-8119-8909E83F44B3},-64.81459449,46.08785516
WATER,POOL,Centennial Park Beach,Plage du parc du centenaire,45 CENTENNIAL BEACH LN,"45, RLE CENTENNIAL BEACH",,506-853-3516,{51BB5EC9-91E4-4439-B36C-15DD832F865A},-64.81888843,46.08712553
WATER,SPLASH PAD,Renton Park Splash Pad,Jeux aquatiques du parc Renton,280 NOEL ST,"280, RUE NOEL",,,{EF3A4A70-3112-4A18-B53C-33A50C2965AC},-64.81584771,46.1059311
WATER,SPLASH PAD,Sumner Park Splash Pad,Jeux aquatiques du parc Sumner,170 LORNE ST,"170, RUE LORNE",,,{9004A827-B277-4BAA-BEF4-D17E725C40F0},-64.82469861,46.10002541
WATER,SPLASH PAD,Prince Edward Park Splash Pad,Jeux aquatiques du parc Prince Ìädouard,25 BURLINGTON AVE,"25, AV BURLINGTON",,,{49AFB020-987E-44DD-877B-B555B5B2E7C3},-64.79542463,46.08691981
WATER,SPLASH PAD,Alexander Splash Pad,Jeux aquatique Alexander,85 READE ST,"85, RUE READE",,,{4BA35247-92CA-45BB-B1E6-31A5FFFED23E},-64.79980187,46.10157969
WATER,SPLASH PAD,Hamilton Heights,Jeux aquatiques Hamilton Heights,120 EVERGREEN DR,"120, PROM EVERGREEN",,,{6A678F21-3138-475B-9206-58F59FA96D9E},-64.85613485,46.11990017
WATER,SPLASH PAD,Maplehurst Splash Pad,Jeux aquatiques Maplehurst,115 MAPLEHURST DR,"115, PROM MAPLEHURST",,,{ACA4F131-B4A9-4030-9E54-3FA079359E2E},-64.86577906,46.12209478
WATER,SPLASH PAD,Reade Splash pad,Jeux aquatiques de la rue Reade,289 WEST LN,"289, RLE WEST",,,{0F0BD281-DA33-4C8F-8E3F-A2E6B48A7B25},-64.80427679,46.10876217
WATER,SPLASH PAD,Lewisville Y Splash Pad,Jeux aquatiques Lewisville Y,45 GLENMOOR DR,"45, PROM GLENMOOR",,,{6F71D195-05C6-43E2-8F32-719DD21529C3},-64.7576473,46.10309374
WATER,SPLASH PAD,Grove Hamlet Splash Pad,Jeux aquatiques Grove Hamlet,39 RIPPLEWOOD RD,"39, CH RIPPLEWOOD",,,{A338BDD8-8FF0-40EF-B6FE-44470F0CF6AE},-64.73222737,46.11382715
WATER,SPLASH PAD,Creek Village Splash Pad,Jeux aquatiques Creek Village,40 PLEASANT ST,"40, RUE PLEASANT",,,{C516CCD8-88FC-47C1-9002-49B451557778},-64.76757412,46.10420515
